id,title,city,text,source
doc_dalat_01,Thành Phố Đà Lạt,Lâm Đồng,"Đà Lạt được mệnh danh là 'thành phố ngàn hoa' và 'thành phố trong sương' với khí hậu ôn đới quanh năm. Thành phố sở hữu nhiều công trình kiến trúc Pháp cổ như nhà ga Đà Lạt, dinh Bảo Đại, các hồ nước thơ mộng như hồ Xuân Hương, hồ Tuyền Lâm và vô số vườn hoa, đồi thông. Đặc biệt, Đà Lạt là thiên đường của các loại hoa nhiệt đới và rau quả ôn đới.",Dalat Tourism
doc_muine_01,Mũi Né,Bình Thuận,"Mũi Né là thị trấn biển nổi tiếng với những đồi cát vàng và đỏ trải dài hàng chục km. Du khách có thể trải nghiệm trượt cát, đua xe jeep trên đồi và chụp ảnh hoàng hôn tuyệt đẹp. Bãi biển Mũi Né có sóng mạnh thích hợp cho các môn thể thao lướt ván, lướt ván diều. Ngoài ra còn có làng chài cổ với cảnh sinh hoạt của ngư dân và chợ hải sản tươi sống.",Mui Ne Tourism
doc_phuquoc_01,Đảo Phú Quốc,Kiên Giang,"Phú Quốc là hòn đảo lớn nhất Việt Nam, được mệnh danh là 'đảo ngọc' với những bãi biển hoang sơ như Bãi Sao, Bãi Dài và Bãi Khem. Đảo nổi tiếng với các khu nghỉ dưỡng cao cấp, vườn tiêu, cơ sở sản xuất nước mắm truyền thống và VinWonders - tổ hợp vui chơi giải trí hiện đại. Du khách cũng có thể khám phá rừng nguyên sinh, tham quan nhà tù Phú Quốc và làng chài Hàm Ninh.",Phu Quoc Tourism
doc_taynguyen_01,Buôn Ma Thuột,Đắk Lắk,"Buôn Ma Thuột được coi là thủ phủ cà phê của Tây Nguyên, nơi bảo tồn nhiều nét văn hóa đặc sắc của các dân tộc Êđê, M'nông. Du khách có thể tham quan bảo tàng thế giới cà phê, các buôn làng cổ với nhà sàn dài, thưởng thức rượu cần và xem biểu diễn cồng chiêng. Các thác nước hùng vĩ như Dray Nur, Dray Sap và hồ Lắk cũng là điểm đến không thể bỏ qua.",Dak Lak Tourism
doc_cuchi_01,Địa Đạo Củ Chi,TP HCM,"Địa đạo Củ Chi là hệ thống phòng thủ ngầm trong lòng đất dài hơn 250km, được xây dựng trong thời kỳ kháng chiến chống Mỹ. Du khách có thể trải nghiệm bò qua các đoạn địa đạo nguyên bản, xem các loại bẫy sáng tạo, bếp Hoàng Cầm và tìm hiểu về cuộc sống của quân dân Củ Chi trong thời chiến. Đây là di tích lịch sử quan trọng, minh chứng cho tinh thần kiên cường của người Việt Nam.",Cu Chi Tourism
doc_mekong_01,Chợ Nổi Cái Răng,Cần Thơ,"Chợ nổi Cái Răng là chợ truyền thống trên sông lớn nhất vùng đồng bằng sông Cửu Long, hoạt động từ 4-8h sáng hàng ngày. Du khách có thể đi thuyền tham quan, mua trái cây tươi ngon trực tiếp từ ghe thuyền và thưởng thức các món ăn đặc sản như hủ tiếu, bún riêu. Mỗi ghe thuyền treo 'cây bẹo' - vật dụng đại diện cho mặt hàng kinh doanh, tạo nên nét văn hóa độc đáo của chợ nổi.",Can Tho Tourism
doc_ninhbinh_01,Tràng An,Ninh Bình,"Quần thể danh thắng Tràng An được UNESCO công nhận là di sản thiên nhiên và văn hóa thế giới với hệ thống hang động, núi đá vôi và di tích lịch sử. Du khách sẽ được ngồi thuyền nan đi qua các hang động như hang Tối, hang Sáng, hang Nấu Rượu và tham quan các đền chùa cổ kính. Cảnh quan nơi đây thường được ví như 'Hạ Long trên cạn' với vẻ đẹp hùng vĩ mà thơ mộng.",Ninh Binh Tourism
doc_hoian_02,Chùa Cầu Hội An,Hội An,"Chùa Cầu (hay cầu Nhật Bản) là công trình kiến trúc độc đáo xây dựng từ thế kỷ 17, kết hợp phong cách Việt - Nhật - Trung. Cầu dài 18m với mái vòm che phủ, giữa cầu có ngôi chùa thờ Bắc Đế Trấn Võ. Đặc biệt, hình ảnh Chùa Cầu được in trên tờ tiền polymer 20.000 VND của Việt Nam. Vào ban đêm, cầu được thắp sáng bởi những chiếc đèn lồng đủ màu sắc tạo nên khung cảnh lãng mạn.",Hoi An Tourism
doc_hue_02,Lăng Khải Định,Thừa Thiên Huế,"Lăng Khải Định là công trình kiến trúc độc đáo nhất trong hệ thống lăng tẩm triều Nguyễn, kết hợp hài hòa giữa phong cách Á - Âu. Lăng xây dựng trong 11 năm (1920-1931) với điểm nhấn là cung Thiên Định - nơi có ba bức bích họa 'Cửu long ẩn vân' được ghép từ sành sứ và thủy tinh tinh xảo. Kiến trúc lăng thể hiện rõ sự giao thoa văn hóa Đông - Tây dưới thời Pháp thuộc.",Hue Tourism
doc_sapa_02,Núi Hàm Rồng,Lào Cai,"Núi Hàm Rồng là điểm ngắm cảnh lý tưởng ở độ cao 1.800m, cách trung tâm thị trấn Sapa 3km. Du khách leo qua các bậc thang đá để đến vườn hoa phương Đông với hàng trăm loài hoa nhiệt đới, vườn lan quý hiếm và sân đỉnh Hàm Rồng - nơi có thể ngắm toàn cảnh thung lũng Mường Hoa, đỉnh Fansipan và thị trấn Sapa mờ sương. Trên đường lên đỉnh còn có vườn tượng đá tự nhiên với nhiều hình thù kỳ thú.",Sapa Tourism
doc_halong_03,Hang Sửng Sốt,Quảng Ninh,"Hang Sửng Sốt là một trong những hang động lớn và đẹp nhất vịnh Hạ Long với diện tích khoảng 10.000m². Hang nằm trên đảo Bồ Hòn, được phát hiện bởi người Pháp năm 1901. Bên trong hang là thế giới của nhũ đá đa dạng hình thù như sư tử, rồng, đài sen và nhiều tạo hình kỳ ảo khác. Ánh sáng tự nhiên chiếu qua các khe đá tạo hiệu ứng màu sắc tuyệt đẹp, đặc biệt vào buổi trưa khi mặt trời lên cao.",Halong Tourism
doc_danang_06,Bán Đảo Sơn Trà,Đà Nẵng,"Bán đảo Sơn Trà cách trung tâm thành phố Đà Nẵng 10km về phía đông bắc, được mệnh danh là 'lá phổi xanh' của thành phố. Nơi đây có khu bảo tồn thiên nhiên với hơn 300 loài thực vật và 200 loài động vật, trong đó có loài voọc chà vá chân nâu quý hiếm. Đỉnh Sơn Trà cao 693m là điểm ngắm toàn cảnh thành phố, biển Đông và vịnh Đà Nẵng. Bán đảo còn có chùa Linh Ứng - ngôi chùa lớn nhất Đà Nẵng với tượng Phật Quan Âm cao 67m.",Danang Tourism
doc_nhatrang_02,Tháp Bà Ponagar,Khánh Hòa,"Tháp Bà Ponagar là quần thể đền tháp Chăm Pa được xây dựng từ thế kỷ 7-12, nằm trên đồi Cù Lao cao 10m nhìn ra sông Cái. Khu di tích gồm 4 tháp chính thờ nữ thần Ponagar (Thiên Y A Na) - mẹ của vương quốc Chăm Pa. Kiến trúc tháp mang đậm phong cách Chăm với những họa tiết chạm khắc tinh xảo, thể hiện trình độ kiến trúc và tín ngưỡng thờ Mẫu của người Chăm cổ. Lễ hội Tháp Bà diễn ra từ 20-23/3 âm lịch hàng năm thu hút đông đảo du khách.",Nha Trang Tourism
doc_dalat_02,Hồ Xuân Hương,Lâm Đồng,"Hồ Xuân Hương nằm ở trung tâm thành phố Đà Lạt, được ví như 'trái tim của thành phố ngàn hoa'. Hồ có chu vi 5km, được người Pháp xây dựng năm 1919 bằng cách ngăn dòng suối Cam Ly. Xung quanh hồ là các công trình kiến trúc nổi tiếng như golf Đà Lạt, khách sạn Palace, vườn hoa thành phố và các quán cà phê view hồ lãng mạn. Du khách có thể dạo bộ, đạp xe ven hồ hoặc thuê thuyền thiên nga ngắm cảnh.",Dalat Tourism
doc_muine_02,Đồi Cát Bay,Bình Thuận,"Đồi Cát Bay là điểm đến nổi tiếng ở Mũi Né với những cồn cát vàng rộng lớn, thay đổi hình dạng liên tục theo gió. Khu vực gồm đồi cát trắng và đồi cát đỏ, tạo nên cảnh quan sa mạc độc đáo giữa miền duyên hải. Du khách có thể thuê ván trượt cát, đi xe jeep địa hình hoặc cưỡi lạc đà tham quan. Thời điểm đẹp nhất là sáng sớm để ngắm bình minh và chiều tối để ngắm hoàng hôn trên đồi cát.",Mui Ne Tourism
doc_phuquoc_02,Bãi Sao Phú Quốc,Kiên Giang,"Bãi Sao là một trong những bãi biển đẹp nhất Phú Quốc với hình vòng cung hoàn hảo, cát trắng mịn như bột và nước biển trong xanh màu ngọc bích. Bãi có độ dốc thoai thoải, sóng nhẹ thích hợp cho bơi lội và các hoạt động thể thao dưới nước. Hai bên bãi biển là những hàng dừa nghiêng bóng, tạo không gian nghỉ dưỡng lý tưởng. Vào buổi tối, du khách có thể thưởng thức hải sản tươi sống tại các nhà hàng ven biển.",Phu Quoc Tourism
doc_taynguyen_02,Thác Dray Nur,Đắk Lắk,"Thác Dray Nur là thác nước hùng vĩ nhất Tây Nguyên với chiều cao 30m, rộng 250m, nằm trên dòng sông Sêrêpôk. Thác đổ ầm ầm quanh năm, tạo thành bức tường nước trắng xóa giữa rừng nguyên sinh. Du khách có thể đi bộ qua cầu treo để đến gần chân thác, cảm nhận sức mạnh của thiên nhiên và tắm tiên tại các hồ nước nhỏ dưới chân thác. Thác Dray Nur gắn liền với nhiều truyền thuyết của người Êđê bản địa.",Dak Lak Tourism
doc_cuchi_02,Đền Bến Dược,TP HCM,"Đền Bến Dược là công trình tưởng niệm các anh hùng liệt sĩ hy sinh trong kháng chiến, nằm trong khu di tích lịch sử địa đạo Củ Chi. Đền được xây dựng theo kiến trúc truyền thống Việt Nam với mái cong, hoa văn rồng phượng. Bên trong đền khắc tên hơn 45.000 liệt sĩ đã ngã xuống vì độc lập dân tộc. Không khí trang nghiêm, thành kính tại đền tạo cảm xúc mạnh mẽ cho du khách về lịch sử đấu tranh anh dũng của dân tộc.",Cu Chi Tourism
doc_mekong_02,Vườn Trái Cây Cái Mơn,Bến Tre,"Vườn trái cây Cái Mơn nằm ở huyện Chợ Lách, tỉnh Bến Tre - vựa trái cây lớn nhất miền Tây Nam Bộ. Vườn rộng hàng chục hecta với hơn 20 loại cây ăn trái đặc sản như sầu riêng, chôm chôm, măng cụt, vú sữa. Du khách được tham quan vườn, tìm hiểu kỹ thuật trồng và ghép cây, thưởng thức trái cây tại vườn. Đặc biệt, vào mùa trái chín (tháng 5-8), vườn trái cây sum suê, hương thơm ngào ngạt khắp nơi.",Ben Tre Tourism
doc_ninhbinh_02,Chùa Bái Đính,Ninh Bình,"Chùa Bái Đính là quần thể chùa lớn nhất Việt Nam với tổng diện tích 539ha, bao gồm khu chùa cổ có từ thời nhà Đinh và khu chùa mới xây dựng năm 2003. Chùa sở hữu nhiều kỷ lục như tượng Phật Thích Ca bằng đồng lớn nhất Đông Nam Á (100 tấn), chuông đồng lớn nhất Việt Nam (36 tấn) và hành lang La Hán dài nhất châu Á. Kiến trúc chùa kết hợp hài hòa giữa truyền thống và hiện đại, tạo không gian tâm linh trang nghiêm.",Ninh Binh Tourism
doc_hoian_03,Làng Rau Trà Quế,Hội An,"Làng rau Trà Quế có lịch sử hơn 300 năm, nằm cách phố cổ Hội An 3km về phía đông bắc. Làng chuyên trồng các loại rau gia vị hữu cơ như húng quế, rau răm, tía tô, kinh giới bằng phương pháp truyền thống. Du khách có thể trải nghiệm làm nông dân: xới đất, gieo hạt, tưới nước bằng gàu sòng và thu hoạch rau. Đặc biệt, các món ăn chế biến từ rau Trà Quế tại nhà hàng trong làng mang hương vị độc đáo khó quên.",Hoi An Tourism
doc_hue_03,Chùa Thiên Mụ,Thừa Thiên Huế,"Chùa Thiên Mụ là ngôi chùa cổ nhất ở Huế, được chúa Nguyễn Hoàng cho xây dựng năm 1601. Chùa tọa lạc trên đồi Hà Khê, bên bờ sông Hương thơ mộng. Biểu tượng của chùa là tháp Phước Duyên cao 21m, 7 tầng, mỗi tầng thờ một vị Phật khác nhau. Trong khuôn viên chùa còn có điện Đại Hùng, điện Địa Tạng và chiếc xe Austin mà Hòa thượng Thích Quảng Đức đã sử dụng trước khi tự thiêu năm 1963.",Hue Tourism
doc_sapa_03,Bản Cát Cát,Lào Cai,"Bản Cát Cát là bản làng của người H'Mông cách trung tâm thị trấn Sapa 2km, nằm trong thung lũng Mường Hoa xinh đẹp. Bản bảo tồn nguyên vẹn kiến trúc nhà trình tường, mái lợp gỗ pơmu và các nghề thủ công truyền thống như dệt thổ cẩm, chạm khắc bạc, rèn công cụ. Du khách có thể tham quan thác Cát Cát, tìm hiểu văn hóa người H'Mông qua các điệu múa xòe, khèn Mông và thưởng thức rượu ngô, thắng cố đặc sản.",Sapa Tourism
doc_halong_04,Đảo Tuần Châu,Quảng Ninh,"Đảo Tuần Châu là khu du lịch tổng hợp rộng 220ha, kết nối với đất liền bằng cầu Tuần Châu dài 2km. Nơi đây có bãi biển nhân tạo dài 4km, sân golf 18 lỗ, công viên nước và nhà hát với các show diễn cá heo, sư tử biển đặc sắc. Đảo từng là khu nghỉ dưỡng của Chủ tịch Hồ Chí Minh, hiện còn lưu giữ nhà sàn Bác Hồ. Về đêm, du khách có thể tham gia các hoạt động giải trí sôi động tại quảng trường Tuần Châu.",Halong Tourism
doc_danang_07,Bảo Tàng Điêu Khắc Chăm,Đà Nẵng,"Bảo tàng Điêu khắc Chăm Đà Nẵng thành lập năm 1915, lưu giữ bộ sưu tập hiện vật Chăm Pa lớn nhất thế giới với gần 2.000 tác phẩm. Các phòng trưng bày được phân theo khu vực địa lý: Mỹ Sơn, Trà Kiệu, Đồng Dương, Tháp Mẫm và Quảng Nam. Nổi bật là các tượng thần Shiva, Vishnu, tượng vũ nữ Apsara, tượng thần Sáng tạo Brahma và các phù điêu mô tả sinh hoạt của người Chăm cổ. Kiến trúc bảo tàng mang phong cách Gothic kết hợp Chăm Pa độc đáo.",Danang Tourism
doc_nhatrang_03,Vinpearl Land Nha Trang,Khánh Hòa,"Vinpearl Land Nha Trang là tổ hợp vui chơi giải trí hiện đại trên đảo Hòn Tre, kết nối với đất liền bằng hệ thống cáp treo vượt biển dài 3.320m. Khu nghỉ dưỡng bao gồm công viên nước với các trò chơi cảm giác mạnh, thủy cung với hơn 300 loài sinh vật biển, vườn thú mở và khu vui chơi trong nhà. Buổi tối có show nhạc nước và biểu diễn nghệ thuật đặc sắc. Đây là điểm đến lý tưởng cho gia đình và giới trẻ yêu thích khám phá.",Nha Trang Tourism
doc_dalat_03,Thung Lũng Tình Yêu,Lâm Đồng,"Thung lũng Tình Yêu nằm cách trung tâm Đà Lạt 5km về phía bắc, là điểm hẹn lãng mạn nổi tiếng với hồ Đa Thiện, đồi Vọng Cảnh và vườn hoa nhiệt đới rực rỡ. Du khách có thể đi thuyền thiên nga trên hồ, cưỡi ngựa qua rừng thông, chụp ảnh tại vườn hoa hình trái tim và tham quan tượng Tình Yêu - biểu tượng của thung lũng. Nơi đây cũng có các khu vực cắm trại, dã ngoại lý tưởng cho nhóm bạn và gia đình.",Dalat Tourism
doc_muine_03,Làng Chài Mũi Né,Bình Thuận,"Làng chài Mũi Né nằm dọc bờ biển phía đông thị trấn, vẫn giữ nguyên nét đẹp truyền thống với hàng trăm chiếc thuyền thúng đủ màu sắc. Du khách có thể dậy sớm ngắm bình minh trên biển, chứng kiến cảnh ngư dân kéo lưới, phân loại hải sản và mua hải sản tươi sống ngay tại chỗ. Xung quanh làng chài là các xưởng phơi mực, làm nước mắm và chế biến hải sản khô. Đây là điểm đến lý tưởng để tìm hiểu đời sống văn hóa biển của ngư dân miền Trung.",Mui Ne Tourism
doc_phuquoc_03,Nhà Tù Phú Quốc,Kiên Giang,"Nhà tù Phú Quốc là di tích lịch sử cấp quốc gia, từng là nơi giam giữ hơn 40.000 tù binh trong thời kỳ chiến tranh Việt Nam. Khu di tích rộng 40ha tái hiện các khu giam giữ, tra tấn với những hiện vật nguyên bản như chuồng cọp kẽm gai, đinh ba, cùm sắt. Du khách có thể tìm hiểu về lịch sử kháng chiến chống Mỹ qua các phòng trưng bày, phim tài liệu và lời kể của các nhân chứng lịch sử. Đây là địa chỉ đỏ giáo dục truyền thống yêu nước cho thế hệ trẻ.",Phu Quoc Tourism
doc_taynguyen_03,Hồ Lắk,Đắk Lắk,"Hồ Lắk là hồ nước ngọt tự nhiên lớn nhất Tây Nguyên với diện tích 6.200ha, nằm dưới chân núi lửa Cư Yang Sin. Xung quanh hồ là các buôn làng của người M'nông với nhà sàn dài truyền thống. Du khách có thể đi thuyền độc mộc trên hồ, tham quan buôn Jun - nơi có nhà sàn dài 107m, tìm hiểu văn hóa cồng chiêng và thưởng thức các món ăn đặc sản như cơm lam, gà nướng. Buổi tối có thể ngủ lại tại nhà sàn, nghe khan (sử thi) của người M'nông.",Dak Lak Tourism
doc_cuchi_03,Trảng Cỏ Bàu Trắc,TP HCM,"Trảng cỏ Bàu Trắc là khu sinh thái rộng 25ha trong khu di tích địa đạo Củ Chi, bảo tồn hệ động thực vật đặc trưng của vùng đất ngập nước Nam Bộ. Du khách có thể đi bộ trên các con đường mòn xuyên rừng, quan sát các loài chim nước, thú nhỏ và tham quan khu vực trảng cỏ ngập nước theo mùa. Nơi đây còn có khu cắm trại, câu cá giải trí và nhà hàng phục vụ đặc sản miền Tây. Đây là điểm đến lý tưởng để trốn khỏi không khí ồn ào của thành phố.",Cu Chi Tourism
doc_mekong_03,Chợ Nổi Phong Điền,Cần Thơ,"Chợ nổi Phong Điền nằm trên sông Cần Thơ, cách trung tâm thành phố 15km về phía tây nam. Chợ hoạt động từ 5-9h sáng hàng ngày, quy mô nhỏ hơn Cái Răng nhưng vẫn giữ được nét nguyên sơ của chợ nổi miền Tây. Du khách có thể đi thuyền tham quan, mua trái cây tươi ngon trực tiếp từ ghe thuyền và chứng kiến cuộc sống buôn bán sôi động trên sông. Đặc biệt, các ghe hàng ăn uống phục vụ bún riêu, hủ tiếu, cà phê ngay trên sông tạo trải nghiệm độc đáo.",Can Tho Tourism
doc_ninhbinh_03,Động Am Tiên,Ninh Bình,"Động Am Tiên nằm trong quần thể di tích cố đô Hoa Lư, được mệnh danh là 'chốn bồng lai tiên cảnh' với cảnh quan non nước hữu tình. Động gồm ba khu vực chính: hồ nước trong xanh bao quanh bởi núi đá vôi, hang động với nhũ đá kỳ ảo và đền thờ các vị thiền sư từng tu hành tại đây. Du khách leo qua 205 bậc đá để vào động, trên đường đi có thể ngắm toàn cảnh khu di tích Hoa Lư. Không khí tĩnh lặng, thanh tịnh tại động tạo cảm giác thư thái, xua tan mệt mỏi.",Ninh Binh Tourism
doc_hoian_04,Bãi Biển An Bàng,Hội An,"Bãi biển An Bàng nằm cách phố cổ Hội An 3km về phía đông, được bình chọn là một trong những bãi biển đẹp nhất châu Á. Bãi có bờ cát trắng mịn trải dài 4km, nước biển trong xanh và độ dốc thoai thoải. Khác với bãi biển Cửa Đại đông đúc, An Bàng vẫn giữ được vẻ hoang sơ với những hàng dừa nghiêng bóng và các resort cao cấp ẩn mình trong không gian xanh mát. Du khách có thể thuê ghế tắm nắng, thưởng thức hải sản tươi sống tại các nhà hàng ven biển.",Hoi An Tourism
doc_hue_04,Cung An Định,Thừa Thiên Huế,"Cung An Định được xây dựng năm 1917, là cung điện mang phong cách kiến trúc châu Âu hiện đại nhất trong hệ thống cung điện triều Nguyễn. Cung từng là nơi ở của vua Bảo Đại và hoàng hậu Nam Phương sau khi thoái vị. Công trình nổi bật với mặt tiền màu vàng trang nhã, nội thất sang trọng với các bức tranh tường mô tả cảnh quan Việt Nam và châu Âu. Trần cung điện được trang trí bằng phù điêu thạch cao tinh xảo, thể hiện sự giao thoa văn hóa Đông - Tây đầu thế kỷ 20.",Hue Tourism
doc_sapa_04,Đèo Ô Quy Hồ,Lào Cai,"Đèo Ô Quy Hồ (còn gọi là đèo Cổng Trời) dài 50km, là con đèo dài nhất vùng Tây Bắc, nối liền hai tỉnh Lào Cai và Lai Châu. Đèo có độ cao trung bình 2.000m so với mực nước biển, uốn lượn quanh co giữa núi rừng hùng vĩ. Từ đỉnh đèo, du khách có thể ngắm toàn cảnh dãy Hoàng Liên Sơn, thung lũng Mường Hoa và đỉnh Fansipan. Vào mùa đông, đèo thường có mây vờn tạo cảnh quan kỳ ảo như chốn bồng lai. Đây là điểm check-in lý tưởng cho các phượt thủ và nhiếp ảnh gia.",Sapa Tourism
doc_halong_05,Làng Chài Cửa Vạn,Quảng Ninh,"Làng chài Cửa Vạn là làng nổi truyền thống nằm trong vịnh Hạ Long, được UNESCO công nhận là di sản văn hóa thế giới. Làng có khoảng 300 hộ dân sinh sống bằng nghề đánh bắt và nuôi trồng hải sản. Du khách có thể tham quan làng bằng thuyền kayak hoặc thuyền nan, tìm hiểu cuộc sống của ngư dân, thưởng thức hải sản tươi sống và mua đặc sản làm quà. Buổi tối có chương trình biểu diễn văn nghệ dân gian và đốt lửa trại trên biển.",Halong Tourism
doc_danang_08,Ngũ Hành Sơn,Đà Nẵng,"Ngũ Hành Sơn là quần thể 5 ngọn núi đá vôi: Kim Sơn, Mộc Sơn, Thủy Sơn, Hỏa Sơn và Thổ Sơn, nằm cách trung tâm Đà Nẵng 8km về phía đông nam. Mỗi ngọn núi có các hang động, chùa chiền và tháp Chăm cổ kính. Nổi bật nhất là Thủy Sơn với chùa Tam Thai, hang Huyền Không và Vọng Hải Đài - nơi ngắm toàn cảnh biển Đà Nẵng. Du khách có thể leo bộ hoặc đi thang máy lên đỉnh, tham quan làng đá mỹ nghệ Non Nước ở chân núi.",Danang Tourism
doc_nhatrang_04,Viện Hải Dương Học,Khánh Hòa,"Viện Hải dương học Nha Trang thành lập năm 1922, là một trong những cơ sở nghiên cứu biển lâu đời nhất Đông Dương. Viện có bảo tàng sinh vật biển với hơn 20.000 mẫu vật, bao gồm bộ xương cá voi lưng gù dài 18m, hồ cá sống với hơn 300 loài sinh vật biển nhiệt đới và khu trưng bày các loài san hô, hải miên quý hiếm. Đặc biệt, viện có phòng thí nghiệm nghiên cứu biển ứng dụng công nghệ hiện đại, phục vụ công tác bảo tồn hệ sinh thái biển Việt Nam.",Nha Trang Tourism
doc_dalat_04,Ga Đà Lạt,Lâm Đồng,"Ga Đà Lạt là nhà ga xe lửa cổ nhất Đông Dương, xây dựng năm 1932 theo phong cách kiến trúc Art Deco kết hợp với kiến trúc bản địa Tây Nguyên. Ga từng là điểm cuối của tuyến đường sắt Phan Rang - Đà Lạt dài 84km. Hiện nay, du khách có thể đi chuyến tàu cổ chạy bằng hơi nước đến Trại Mát (7km) để tham quan chùa Linh Phước - ngôi chùa được trang trí bằng gốm sứ và ve chai độc đáo. Ga Đà Lạt được công nhận là di tích kiến trúc cấp quốc gia năm 2001.",Dalat Tourism
doc_muine_04,Kê Gà,Bình Thuận,"Kê Gà là làng chài yên bình cách Mũi Né 30km về phía nam, nổi tiếng với ngọn hải đăng cổ nhất Việt Nam xây dựng năm 1897. Hải đăng cao 35m, được người Pháp xây dựng bằng đá granite, vẫn hoạt động tốt sau hơn 100 năm. Xung quanh là bãi biển hoang sơ với bãi đá tự nhiên hình thù kỳ thú, thích hợp cho những ai muốn tránh xa du lịch ồn ào. Du khách có thể thưởng thức hải sản tươi sống tại các nhà hàng nổi trên biển và ngắm hoàng hôn tuyệt đẹp trên đảo Kê Gà.",Mui Ne Tourism
